Device uid 0 settings:
  Message version =  1.0
  Reading frequency = 30
  State = WORKING
  Battery level = 11%
  Printing all the 57 readings:
      2014-02-09 12:06:27	89
      2014-02-09 12:05:57	87
      2014-02-09 12:05:27	87
      2014-02-09 12:04:57	84
      2014-02-09 12:04:27	83
      2014-02-09 12:03:57	81
      2014-02-09 12:03:27	80
      2014-02-09 12:02:57	78
      2014-02-09 12:02:27	76
      2014-02-09 12:01:57	76
      2014-02-09 12:01:27	73
      2014-02-09 12:00:57	73
      2014-02-09 12:00:27	73
      2014-02-09 11:59:57	72
      2014-02-09 11:59:27	71
      2014-02-09 11:58:57	70
      2014-02-09 11:58:27	70
      2014-02-09 11:57:57	68
      2014-02-09 11:57:27	68
      2014-02-09 11:56:57	67
      2014-02-09 11:56:27	65
      2014-02-09 11:55:57	63
      2014-02-09 11:55:27	61
      2014-02-09 11:54:57	60
      2014-02-09 11:54:27	59
      2014-02-09 11:53:57	58
      2014-02-09 11:53:27	57
      2014-02-09 11:42:43	55
      2014-02-09 11:42:05	53
      2014-02-09 11:41:35	51
      2014-02-09 11:41:05	50
      2014-02-09 11:40:35	47
      2014-02-09 11:40:05	46
      2014-02-09 11:39:34	44
      2014-02-09 11:39:04	43
      2014-02-09 11:38:34	40
      2014-02-09 11:38:04	37
      2014-02-09 11:37:34	36
      2014-02-09 11:37:03	33
      2014-02-09 11:36:33	31
      2014-02-09 11:36:03	28
      2014-02-09 11:35:33	27
      2014-02-09 11:35:03	25
      2014-02-09 11:34:33	22
      2014-02-09 11:34:03	21
      2014-02-09 11:33:33	18
      2014-02-09 11:33:03	18
      2014-02-09 11:32:33	16
      2014-02-09 11:32:03	13
      2014-02-09 11:31:33	11
      2014-02-09 11:31:03	8
      2014-02-09 11:30:33	7
      2014-02-09 11:30:03	6
      2014-02-09 11:29:33	6
      2014-02-09 11:28:01	6
      2014-02-09 11:27:31	3
      2014-02-09 10:28:01	6
